txn_id,customer_id,txn_type,amount,txn_time,status
T00051,C0062,Deposit,27810.99,2024-06-03 18:20:33,Success
T00052,C0058,Withdrawal,93158.77,2024-09-28 19:15:25,Failed
T00053,C0347,Withdrawal,20644.61,2025-04-06 10:26:24,Success
T00054,C0398,Deposit,67970.71,2025-04-04 05:04:45,Success
T00055,C0402,Purchase,9880.24,2024-11-27 08:52:37,Success
T00056,C0498,Online Fraud,34167.69,2024-09-09 21:12:14,Failed
T00057,C0014,Transfer,75105.2,2025-04-12 06:03:18,Success
T00058,C0180,Withdrawal,58429.07,2024-11-10 02:50:00,Success
T00059,C0203,Withdrawal,21375.92,2025-05-05 10:22:47,Success
T00060,C0357,Online Fraud,69134.38,2024-10-12 09:02:34,Failed
T00061,C0402,Withdrawal,94205.0,2024-07-26 22:48:20,Success
T00062,C0334,Deposit,30545.3,2025-04-14 05:45:08,Success
T00063,C0408,Transfer,52393.46,2025-03-27 13:33:04,Success
T00064,C0079,Deposit,4562.94,2024-09-02 10:44:57,Failed
T00065,C0249,Deposit,16051.92,2024-09-11 19:36:24,Failed
T00066,C0430,Withdrawal,79998.35,2025-04-27 07:41:56,Success
T00067,C0203,Withdrawal,8485.99,2025-02-04 10:16:11,Success
T00068,C0111,Deposit,74271.73,2024-12-02 08:07:18,Success
T00069,C0371,Withdrawal,4182.72,2025-04-09 21:33:33,Success
T00070,C0123,Transfer,15623.03,2024-08-31 12:44:56,Success
T00071,C0421,Withdrawal,69249.94,2025-03-26 23:47:51,Success
T00072,C0141,Deposit,64012.05,2025-05-02 10:57:08,Success
T00073,C0062,Transfer,33401.4,2024-10-12 10:21:32,Success
T00074,C0337,Deposit,56620.32,2024-12-05 22:52:37,Success
T00075,C0330,Withdrawal,99860.68,2024-10-31 23:03:24,Success
T00076,C0290,Withdrawal,3003.47,2024-08-29 03:05:52,Success
T00077,C0481,Transfer,89508.1,2024-09-12 17:26:09,Success
T00078,C0439,Deposit,75662.23,2024-09-05 16:26:34,Success
T00079,C0322,Purchase,99182.67,2024-12-30 17:09:56,Success
T00080,C0497,Deposit,57261.9,2025-03-16 16:02:49,Success
T00081,C0476,Deposit,30531.91,2025-05-19 22:01:16,Success
T00082,C0077,Deposit,16653.65,2024-12-27 20:55:41,Success
T00083,C0033,Online Fraud,55419.28,2024-11-24 07:37:24,Failed
T00084,C0338,Deposit,72031.8,2024-10-28 17:41:22,Failed
T00085,C0333,Transfer,43046.59,2025-05-17 14:31:24,Success
T00086,C0101,Deposit,50074.8,2025-02-07 12:52:55,Success
T00087,C0339,Online Fraud,7768.87,2024-08-18 08:16:21,Failed
T00088,C0316,Online Fraud,2413.19,2024-08-24 19:56:13,Failed
T00089,C0121,Withdrawal,98577.08,2024-06-13 14:49:18,Failed
T00090,C0223,Purchase,47219.11,2025-04-07 20:21:23,Success
T00091,C0365,Online Fraud,84118.29,2024-09-23 18:20:19,Failed
T00092,C0201,Deposit,23427.12,2024-11-07 09:25:58,Success
T00093,C0297,Online Fraud,33030.77,2024-09-27 07:32:19,Failed
T00094,C0068,Deposit,81676.97,2025-01-15 22:59:20,Success
T00095,C0160,Deposit,40408.95,2025-05-09 04:42:53,Success
T00096,C0471,Withdrawal,70223.96,2024-08-09 16:37:52,Success
T00097,C0028,Withdrawal,12622.23,2025-04-21 01:36:15,Success
T00098,C0202,Deposit,28733.52,2025-02-02 03:26:10,Success
T00099,C0124,Purchase,97618.35,2024-10-13 22:46:15,Failed
T00100,C0266,Purchase,98544.25,2024-10-25 19:34:27,Success
T00101,C0210,Purchase,80082.9,2024-07-29 21:20:59,Success
T00102,C0401,Withdrawal,4723.71,2024-06-25 09:00:04,Success
T00103,C0460,Withdrawal,64253.35,2024-11-03 02:58:37,Success
T00104,C0278,Withdrawal,18937.03,2024-09-23 03:14:57,Success
T00105,C0234,Purchase,53451.15,2024-11-09 09:39:30,Success
T00106,C0110,Purchase,82693.7,2025-04-10 05:17:40,Failed
T00107,C0249,Transfer,37268.68,2025-04-21 20:28:56,Failed
T00108,C0456,Withdrawal,94684.73,2024-09-10 01:25:34,Success
T00109,C0249,Deposit,1104.09,2024-05-28 03:51:18,Success
T00110,C0286,Deposit,83971.28,2024-08-26 12:10:09,Success
T00111,C0043,Withdrawal,69177.35,2025-03-01 18:57:43,Success
T00112,C0131,Deposit,73692.23,2025-03-11 12:31:18,Success
T00113,C0205,Purchase,71410.91,2025-01-01 15:24:58,Success
T00114,C0023,Withdrawal,41379.49,2024-11-01 10:10:34,Success
T00115,C0174,Deposit,16078.03,2024-12-01 04:47:35,Success
T00116,C0290,Deposit,35189.29,2024-06-12 16:13:40,Success
T00117,C0345,Withdrawal,55264.64,2024-07-11 15:44:27,Success
T00118,C0030,Withdrawal,14667.89,2024-09-02 21:46:06,Success
T00119,C0152,Withdrawal,65310.81,2024-08-23 13:11:52,Success
T00120,C0475,Deposit,38589.38,2025-02-08 15:56:19,Success
T00121,C0099,Withdrawal,61579.93,2024-11-09 00:23:32,Success
T00122,C0187,Deposit,31175.28,2025-03-23 07:35:29,Success
T00123,C0023,Deposit,29299.0,2024-11-19 12:05:10,Success
T00124,C0266,Withdrawal,17788.23,2025-04-22 09:47:21,Success
T00125,C0044,Purchase,63767.52,2024-08-08 09:46:50,Success
T00126,C0199,Deposit,3813.03,2024-12-04 13:09:52,Failed
T00127,C0032,Purchase,18225.18,2024-09-21 00:42:58,Success
T00128,C0082,Withdrawal,12186.5,2025-03-15 21:49:22,Success
T00129,C0189,Purchase,65363.22,2024-12-15 11:22:13,Success
T00130,C0372,Online Fraud,56653.44,2025-01-15 04:20:25,Failed
T00131,C0348,Withdrawal,31768.09,2024-12-19 07:46:37,Success
T00132,C0206,Deposit,98986.73,2024-06-29 07:35:08,Failed
T00133,C0295,Withdrawal,69873.54,2024-11-30 04:48:02,Failed
T00134,C0401,Withdrawal,84453.36,2025-04-19 08:55:50,Success
T00135,C0164,Withdrawal,6534.36,2025-01-13 01:26:28,Success
T00136,C0424,Deposit,96475.6,2024-09-30 22:53:48,Success
T00137,C0396,Deposit,95734.36,2025-03-09 02:21:24,Success
T00138,C0136,Purchase,12464.5,2024-05-31 08:57:15,Success
T00139,C0291,Transfer,6691.15,2024-12-29 20:06:30,Success
T00140,C0232,Purchase,48174.74,2024-10-11 09:56:56,Success
T00141,C0210,Deposit,30109.12,2025-02-23 20:00:27,Success
T00142,C0047,Withdrawal,24155.39,2025-04-05 18:03:20,Success
T00143,C0309,Online Fraud,71039.33,2025-02-09 23:48:08,Failed
T00144,C0020,Withdrawal,5706.55,2024-06-03 07:37:34,Success
T00145,C0499,Deposit,15524.33,2024-12-17 13:27:48,Success
T00146,C0436,Transfer,35593.17,2024-08-19 09:19:58,Success
T00147,C0444,Deposit,52629.79,2024-06-26 18:21:12,Success
T00148,C0328,Deposit,56839.81,2025-04-28 12:59:05,Success
T00149,C0229,Withdrawal,91484.08,2025-02-23 23:07:57,Failed
T00150,C0458,Transfer,30843.82,2024-05-28 21:07:21,Success
T00151,C0299,Withdrawal,58971.42,2025-03-19 05:03:54,Success
T00152,C0279,Deposit,47830.48,2024-08-23 07:08:14,Success
T00153,C0357,Deposit,51227.75,2025-05-08 00:49:06,Success
T00154,C0373,Online Fraud,86297.32,2024-11-22 09:57:58,Failed
T00155,C0348,Withdrawal,99180.84,2024-08-01 05:06:07,Success
T00156,C0136,Withdrawal,35945.27,2024-06-15 09:32:20,Success
T00157,C0239,Withdrawal,69952.36,2025-02-16 20:31:57,Success
T00158,C0172,Purchase,43809.11,2025-05-19 10:06:34,Failed
T00159,C0115,Deposit,25135.11,2025-05-15 22:19:16,Success
T00160,C0391,Deposit,26368.29,2025-02-01 03:29:23,Success
T00161,C0038,Deposit,77339.15,2025-03-22 15:38:51,Success
T00162,C0133,Withdrawal,34159.33,2024-12-06 18:14:36,Success
T00163,C0377,Deposit,52649.5,2024-11-10 08:14:04,Success
T00164,C0060,Deposit,67195.26,2025-04-08 21:16:28,Success
T00165,C0105,Deposit,78327.17,2025-04-15 15:26:24,Failed
T00166,C0063,Deposit,7627.24,2024-07-25 07:22:08,Success
T00167,C0288,Withdrawal,58439.4,2024-09-23 09:54:51,Success
T00168,C0263,Deposit,51984.44,2024-11-02 02:47:54,Success
T00169,C0153,Deposit,92899.22,2025-02-15 00:48:40,Success
T00170,C0033,Deposit,19786.28,2024-08-10 15:22:02,Success
T00171,C0148,Purchase,62392.65,2025-02-08 17:33:58,Success
T00172,C0457,Purchase,25371.4,2025-04-13 06:09:21,Success
T00173,C0156,Purchase,21159.8,2024-12-10 07:26:59,Success
T00174,C0002,Withdrawal,2138.31,2025-04-29 15:24:13,Failed
T00175,C0126,Withdrawal,34765.0,2024-12-28 00:09:42,Success
T00176,C0378,Withdrawal,57868.57,2025-02-24 15:37:24,Success
T00177,C0371,Transfer,43932.1,2025-04-22 17:52:34,Success
T00178,C0478,Deposit,10639.36,2024-09-23 14:54:48,Success
T00179,C0339,Withdrawal,12017.1,2024-06-05 21:17:30,Success
T00180,C0269,Withdrawal,83453.95,2024-11-12 17:10:14,Failed
T00181,C0056,Online Fraud,9911.44,2024-06-15 09:47:34,Failed
T00182,C0207,Deposit,97696.7,2024-07-28 17:23:15,Success
T00183,C0498,Withdrawal,67899.31,2025-05-22 14:47:23,Success
T00184,C0186,Purchase,71300.9,2025-05-14 23:32:10,Success
T00185,C0291,Purchase,13051.09,2024-12-26 04:39:34,Success
T00186,C0208,Online Fraud,52148.29,2025-01-15 02:04:37,Failed
T00187,C0463,Deposit,27097.9,2025-01-26 01:50:35,Success
T00188,C0449,Deposit,57142.47,2025-05-04 06:54:17,Success
T00189,C0230,Withdrawal,24369.21,2024-10-07 11:28:27,Success
T00190,C0019,Deposit,47840.42,2024-11-15 10:54:15,Failed
T00191,C0255,Deposit,92012.68,2025-02-18 22:21:13,Success
T00192,C0443,Transfer,83457.66,2024-05-26 15:50:53,Success
T00193,C0247,Withdrawal,49654.74,2025-01-03 00:08:40,Success
T00194,C0013,Purchase,90817.52,2024-08-21 05:44:25,Success
T00195,C0053,Withdrawal,75517.12,2024-08-12 00:09:18,Success
T00196,C0310,Deposit,45252.04,2025-04-23 02:09:15,Failed
T00197,C0401,Transfer,38415.12,2025-01-31 11:55:36,Success
T00198,C0399,Deposit,15368.72,2024-10-01 03:14:23,Success
T00199,C0097,Deposit,42274.74,2024-12-08 05:05:31,Failed
T00200,C0330,Online Fraud,61452.22,2024-07-05 22:08:13,Failed
T00201,C0299,Deposit,66998.28,2024-09-05 09:23:47,Success
T00202,C0267,Transfer,40371.11,2025-05-06 19:03:42,Success
T00203,C0488,Deposit,37159.96,2025-01-07 16:13:42,Success
T00204,C0310,Purchase,8680.9,2024-11-25 09:54:22,Success
T00205,C0479,Withdrawal,36447.05,2024-10-31 23:01:32,Failed
T00206,C0270,Deposit,79506.51,2024-12-26 15:47:30,Success
T00207,C0165,Deposit,57812.57,2024-11-30 09:52:38,Success
T00208,C0387,Purchase,33621.75,2025-04-27 02:22:02,Success
T00209,C0226,Deposit,56597.32,2024-06-25 08:58:02,Success
T00210,C0220,Deposit,48154.25,2024-10-31 09:24:46,Success
T00211,C0263,Purchase,53198.85,2025-03-05 00:38:20,Success
T00212,C0320,Deposit,4483.97,2025-04-16 21:43:12,Success
T00213,C0418,Purchase,83801.14,2024-08-27 00:40:29,Success
T00214,C0187,Withdrawal,15814.31,2024-10-31 23:06:15,Success
T00215,C0021,Deposit,93908.75,2025-05-24 00:01:48,Success
T00216,C0394,Transfer,48481.98,2024-10-14 08:56:23,Success
T00217,C0206,Deposit,80038.92,2025-04-01 07:43:58,Success
T00218,C0270,Transfer,38163.55,2025-04-01 14:03:59,Success
T00219,C0165,Withdrawal,56268.87,2024-06-20 08:43:08,Success
T00220,C0199,Deposit,11627.82,2024-12-31 00:46:59,Success
T00221,C0191,Deposit,41254.14,2025-01-24 11:07:46,Success
T00222,C0092,Withdrawal,94421.86,2024-07-01 06:31:44,Success
T00223,C0316,Withdrawal,11169.79,2025-01-03 16:04:47,Success
T00224,C0396,Withdrawal,37874.0,2025-03-29 18:35:39,Success
T00225,C0043,Purchase,9041.3,2024-05-29 02:08:59,Success
T00226,C0318,Online Fraud,33189.87,2024-10-22 16:48:52,Failed
T00227,C0199,Deposit,87212.83,2024-11-07 14:25:52,Success
T00228,C0343,Deposit,81096.23,2025-02-09 02:01:08,Success
T00229,C0030,Purchase,52413.0,2024-07-06 19:04:56,Success
T00230,C0240,Deposit,13783.77,2024-12-18 17:54:29,Success
T00231,C0121,Deposit,88342.92,2024-06-19 14:10:05,Success
T00232,C0098,Deposit,40058.01,2024-11-24 09:03:14,Success
T00233,C0349,Transfer,48902.71,2024-07-03 18:05:30,Success
T00234,C0238,Deposit,77866.3,2024-11-13 11:30:19,Success
T00235,C0408,Deposit,56653.22,2024-12-10 03:02:38,Success
T00236,C0164,Deposit,1828.77,2024-12-05 00:52:34,Success
T00237,C0036,Transfer,74559.21,2024-07-14 17:48:14,Success
T00238,C0357,Purchase,12267.91,2025-02-06 11:46:00,Success
T00239,C0089,Purchase,84296.65,2025-02-10 13:54:33,Success
T00240,C0397,Withdrawal,37940.6,2025-02-23 23:41:24,Success
T00241,C0157,Purchase,82069.78,2024-08-10 09:22:21,Failed
T00242,C0359,Withdrawal,51781.58,2024-08-14 07:20:21,Success
T00243,C0356,Purchase,39051.07,2025-04-21 14:51:29,Success
T00244,C0298,Deposit,73044.14,2024-11-25 08:18:59,Success
T00245,C0070,Deposit,61733.46,2024-07-14 09:24:20,Success
T00246,C0044,Purchase,20450.66,2025-04-04 04:39:38,Success
T00247,C0119,Purchase,22558.85,2025-01-04 03:50:25,Success
T00248,C0264,Online Fraud,49132.39,2024-12-21 03:17:49,Failed
T00249,C0169,Deposit,28887.08,2024-08-10 14:31:21,Success
T00250,C0114,Online Fraud,73309.46,2025-05-04 06:45:13,Failed
T00251,C0044,Withdrawal,28199.62,2025-03-25 21:44:45,Success
T00252,C0191,Online Fraud,14878.54,2024-07-29 15:02:38,Failed
T00253,C0371,Withdrawal,69465.31,2024-12-14 10:11:26,Success
T00254,C0245,Withdrawal,85988.02,2025-04-20 09:59:42,Success
T00255,C0144,Deposit,78989.28,2024-06-06 04:53:38,Success
T00256,C0183,Withdrawal,67680.46,2024-11-15 03:24:49,Success
T00257,C0112,Purchase,1284.31,2024-11-03 19:49:37,Success
T00258,C0261,Online Fraud,31988.23,2025-05-01 12:41:51,Failed
T00259,C0457,Purchase,2759.63,2024-07-28 07:56:33,Success
T00260,C0386,Purchase,64662.21,2025-02-18 04:24:29,Failed
T00261,C0484,Deposit,62037.35,2024-12-04 13:20:56,Success
T00262,C0311,Purchase,40727.95,2024-08-05 00:10:02,Success
T00263,C0391,Withdrawal,70275.37,2024-11-09 04:16:10,Success
T00264,C0056,Purchase,95015.85,2024-06-17 14:07:51,Success
T00265,C0068,Withdrawal,57134.33,2024-09-28 17:39:00,Success
T00266,C0366,Deposit,30851.45,2024-09-03 23:13:59,Success
T00267,C0152,Withdrawal,25384.24,2024-12-08 07:22:43,Success
T00268,C0318,Deposit,67281.88,2025-03-04 10:39:21,Success
T00269,C0387,Purchase,13603.09,2024-10-11 05:23:48,Success
T00270,C0242,Withdrawal,92898.2,2025-03-01 20:24:57,Success
T00271,C0192,Withdrawal,18810.92,2024-11-07 22:21:39,Success
T00272,C0129,Purchase,16221.12,2024-10-04 11:15:03,Success
T00273,C0451,Online Fraud,68180.68,2025-03-29 13:37:09,Failed
T00274,C0443,Purchase,15162.2,2024-11-03 18:53:54,Failed
T00275,C0200,Deposit,23297.48,2024-11-27 05:01:24,Success
T00276,C0077,Withdrawal,91667.16,2025-03-16 08:58:01,Failed
T00277,C0238,Deposit,98521.32,2024-06-01 22:36:33,Success
T00278,C0219,Deposit,38203.87,2025-04-22 19:23:04,Success
T00279,C0466,Withdrawal,55730.12,2024-12-09 00:32:42,Success
T00280,C0276,Purchase,9858.48,2025-03-23 23:38:31,Success
T00281,C0092,Deposit,12102.29,2024-07-04 22:40:07,Failed
T00282,C0386,Deposit,26399.12,2025-03-25 18:16:48,Success
T00283,C0046,Withdrawal,9877.7,2025-03-01 17:51:38,Success
T00284,C0360,Purchase,7834.77,2024-08-27 11:26:53,Success
T00285,C0356,Transfer,73420.11,2024-12-23 11:59:17,Success
T00286,C0200,Transfer,36347.74,2025-05-05 07:05:02,Success
T00287,C0342,Purchase,52938.47,2025-04-27 04:55:38,Success
T00288,C0320,Deposit,62800.92,2025-03-06 22:03:01,Success
T00289,C0391,Deposit,85658.7,2024-10-01 17:22:08,Success
T00290,C0500,Withdrawal,34822.07,2025-05-08 14:01:58,Failed
T00291,C0353,Deposit,39528.95,2024-09-07 04:19:32,Success
T00292,C0104,Deposit,23104.45,2024-11-12 16:15:46,Success
T00293,C0141,Deposit,37859.55,2024-09-24 11:32:39,Success
T00294,C0116,Purchase,30510.37,2024-11-15 02:41:54,Success
T00295,C0057,Withdrawal,73272.93,2024-07-14 10:04:56,Success
T00296,C0235,Withdrawal,75031.88,2024-09-01 09:26:16,Failed
T00297,C0127,Purchase,73271.0,2024-06-28 03:54:45,Success
T00298,C0228,Deposit,80723.8,2024-06-17 11:47:14,Success
T00299,C0030,Transfer,12088.23,2024-09-25 02:22:26,Success
T00300,C0477,Withdrawal,70760.37,2024-06-14 10:19:09,Success
T00301,C0296,Deposit,3273.74,2024-11-10 17:40:13,Success
T00302,C0033,Withdrawal,9729.83,2024-07-28 09:44:21,Success
T00303,C0159,Purchase,11423.69,2024-07-15 22:38:39,Success
T00304,C0306,Purchase,27786.09,2024-08-18 22:21:54,Success
T00305,C0402,Withdrawal,71709.93,2025-01-13 18:21:15,Success
T00306,C0274,Transfer,78541.06,2025-03-23 04:47:42,Success
T00307,C0056,Deposit,41334.64,2024-08-07 05:27:14,Success
T00308,C0373,Withdrawal,56544.63,2024-06-29 22:22:13,Success
T00309,C0142,Withdrawal,69717.18,2025-04-17 13:37:14,Success
T00310,C0307,Deposit,76702.14,2024-12-05 16:12:24,Success
T00311,C0340,Withdrawal,44914.23,2024-09-26 03:43:38,Success
T00312,C0418,Deposit,24548.83,2024-12-19 21:17:15,Failed
T00313,C0431,Deposit,44255.01,2024-06-17 10:25:28,Success
T00314,C0055,Purchase,27364.71,2024-09-30 09:51:08,Success
T00315,C0469,Purchase,10543.49,2025-05-17 06:57:52,Success
T00316,C0120,Deposit,76994.17,2024-10-02 21:36:13,Success
T00317,C0288,Transfer,78913.08,2025-02-02 17:42:39,Failed
T00318,C0147,Withdrawal,85366.82,2025-03-28 12:37:27,Success
T00319,C0365,Purchase,50945.97,2025-04-22 00:04:24,Failed
T00320,C0226,Withdrawal,85431.0,2025-05-14 01:36:39,Success
T00321,C0462,Withdrawal,88340.88,2025-03-07 02:31:03,Failed
T00322,C0443,Deposit,20279.18,2024-11-11 21:11:27,Success
T00323,C0013,Deposit,91396.95,2025-05-24 06:51:50,Success
T00324,C0201,Purchase,3725.6,2025-03-02 08:55:29,Success
T00325,C0436,Deposit,57915.19,2024-07-07 12:04:29,Success
T00326,C0217,Deposit,87138.37,2025-02-16 08:08:42,Success
T00327,C0276,Purchase,14877.63,2025-03-18 04:29:49,Success
T00328,C0077,Deposit,33863.13,2024-07-01 14:23:04,Success
T00329,C0410,Deposit,301.88,2024-12-30 17:21:28,Success
T00330,C0233,Purchase,44595.35,2024-10-11 11:53:23,Success
T00331,C0077,Online Fraud,54678.59,2024-08-08 09:44:19,Failed
T00332,C0045,Transfer,30129.15,2025-01-09 11:48:12,Success
T00333,C0284,Withdrawal,1311.38,2024-09-07 01:52:50,Success
T00334,C0421,Online Fraud,31410.33,2024-11-03 13:18:54,Failed
T00335,C0354,Withdrawal,59351.86,2025-04-11 03:51:24,Success
T00336,C0322,Deposit,63574.46,2025-05-04 02:09:04,Success
T00337,C0447,Withdrawal,48917.62,2024-12-25 07:13:04,Success
T00338,C0363,Deposit,64756.04,2024-07-29 14:08:19,Success
T00339,C0016,Deposit,27866.2,2024-07-11 23:40:40,Success
T00340,C0179,Deposit,56953.03,2024-08-10 23:48:24,Success
T00341,C0206,Deposit,72274.85,2024-09-08 08:27:42,Success
T00342,C0387,Deposit,65551.29,2024-09-28 20:45:09,Failed
T00343,C0321,Deposit,82517.5,2025-05-10 04:48:19,Success
T00344,C0032,Purchase,93881.83,2025-05-16 12:12:20,Success
T00345,C0449,Withdrawal,13757.83,2024-09-24 01:12:46,Success
T00346,C0372,Deposit,95472.73,2025-02-08 15:27:50,Success
T00347,C0362,Deposit,25750.25,2025-03-11 14:34:34,Success
T00348,C0390,Deposit,18999.93,2025-02-07 23:55:01,Success
T00349,C0063,Purchase,65342.05,2024-09-30 02:59:35,Success
T00350,C0287,Purchase,16105.15,2025-04-06 22:00:16,Success
T00351,C0164,Withdrawal,15029.49,2024-07-29 03:28:21,Success
T00352,C0117,Purchase,65387.11,2025-01-01 23:32:41,Success
T00353,C0419,Transfer,4353.76,2024-09-04 04:16:47,Success
T00354,C0036,Deposit,66140.01,2025-02-20 11:33:17,Success
T00355,C0074,Deposit,83000.76,2024-12-04 06:09:23,Success
T00356,C0105,Transfer,78230.58,2025-03-24 21:05:05,Success
T00357,C0161,Transfer,94553.94,2024-07-26 15:03:01,Success
T00358,C0148,Withdrawal,28887.51,2024-08-20 20:07:05,Failed
T00359,C0332,Deposit,49478.8,2024-07-24 00:37:13,Success
T00360,C0293,Deposit,11929.53,2024-08-10 09:41:44,Success
T00361,C0349,Transfer,2296.56,2024-10-18 10:21:38,Success
T00362,C0238,Transfer,83515.13,2025-01-25 02:14:09,Success
T00363,C0224,Deposit,98062.31,2024-06-08 02:05:45,Failed
T00364,C0404,Deposit,94458.69,2025-05-04 08:01:49,Success
T00365,C0021,Deposit,42803.16,2024-10-16 23:36:16,Success
T00366,C0099,Withdrawal,65694.42,2025-04-20 21:33:22,Success
T00367,C0319,Deposit,20277.04,2024-09-07 00:20:44,Failed
T00368,C0270,Purchase,64186.64,2024-10-12 02:04:47,Success
T00369,C0312,Purchase,88273.11,2025-05-07 16:25:32,Failed
T00370,C0438,Withdrawal,21032.34,2025-05-05 18:55:51,Success
T00371,C0344,Deposit,37221.68,2025-02-18 19:13:38,Failed
T00372,C0450,Deposit,8388.83,2024-09-07 00:33:49,Failed
T00373,C0395,Withdrawal,45240.44,2024-08-31 14:16:10,Success
T00374,C0388,Deposit,98674.33,2024-09-18 00:38:54,Success
T00375,C0254,Deposit,15551.89,2025-03-25 12:58:29,Success
T00376,C0407,Purchase,82677.68,2024-11-24 04:07:10,Success
T00377,C0377,Withdrawal,86067.82,2025-03-22 12:51:07,Success
T00378,C0483,Withdrawal,92798.29,2025-02-16 09:28:49,Success
T00379,C0354,Withdrawal,21437.83,2024-12-15 10:22:16,Success
T00380,C0467,Deposit,4254.43,2024-10-01 17:39:59,Success
T00381,C0415,Withdrawal,78732.29,2024-12-27 16:32:49,Failed
T00382,C0004,Withdrawal,16209.0,2024-07-28 07:56:21,Success
T00383,C0488,Purchase,25582.45,2024-08-11 21:39:03,Success
T00384,C0451,Deposit,63101.91,2024-07-05 01:36:27,Success
T00385,C0454,Withdrawal,53623.16,2024-09-28 14:52:15,Success
T00386,C0373,Purchase,71462.49,2025-01-27 07:35:45,Success
T00387,C0153,Withdrawal,22675.07,2025-01-15 19:44:08,Success
T00388,C0449,Purchase,32564.48,2024-07-28 16:25:48,Failed
T00389,C0482,Withdrawal,26710.03,2025-03-18 12:46:44,Success
T00390,C0140,Deposit,32130.19,2024-10-18 12:35:20,Failed
T00391,C0155,Purchase,34423.72,2025-05-12 12:00:21,Success
T00392,C0006,Online Fraud,97154.13,2024-06-08 03:57:01,Failed
T00393,C0001,Deposit,55111.34,2024-06-12 14:15:03,Failed
T00394,C0139,Withdrawal,27814.19,2024-06-13 21:04:18,Success
T00395,C0048,Purchase,75245.53,2024-10-31 05:42:38,Success
T00396,C0182,Transfer,93472.98,2025-02-02 20:21:51,Success
T00397,C0190,Withdrawal,60103.93,2025-01-20 12:20:28,Success
T00398,C0061,Online Fraud,1467.25,2024-12-16 05:59:14,Failed
T00399,C0250,Deposit,86592.09,2025-01-26 14:27:21,Success
T00400,C0057,Deposit,35939.87,2025-01-14 14:37:05,Success
